Energy_DPMD (eV),x,y,z
-45580.01442,6.8,13.1,9.8
-45580.61333,6.9,12.3,9.1
-45582.79124,7.4,5.0,8.7
-45580.07166,8.9,8.6,10.2
-45579.95148,4.3,9.6,9.5
-45580.26333,4.7,5.9,9.5
-45580.30546,5.4,6.5,9.5
-45580.2518,5.5,4.8,10.6
-45580.09922,5.5,13.2,9.6
-45580.19443,6.0,8.8,9.6
-45580.27128,6.1,6.6,9.5
-45580.42021,6.4,13.0,9.5
-45582.37361,6.8,5.8,9.5
-45580.10056,6.9,5.5,10.6
-45580.15449,6.9,13.1,9.6
-45580.04169,7.4,6.3,9.6
-45579.98112,7.5,5.0,10.5
-45580.01317,8.0,9.0,9.5
-45580.80235,3.5,9.4,9.2
-45580.03845,4.2,9.6,9.7
-45580.66664,5.8,4.9,10.5
-45580.83553,5.9,6.4,9.6
-45580.53497,6.4,5.4,10.5
-45582.22776,6.5,5.9,9.6
-45580.21753,6.5,13.0,9.7
-45580.07923,7.1,5.7,10.5
-45580.06466,7.2,12.6,9.6
-45580.63146,9.1,9.2,9.6
-45580.05532,3.4,9.9,10.1
-45581.41583,4.7,5.4,8.8
-45580.9305,5.1,4.8,10.1
-45580.19376,5.5,6.5,9.7
-45580.61241,5.8,12.1,9.2
-45580.4617,6.0,6.6,9.7
-45580.78227,6.4,12.2,9.2
-45580.21531,6.6,8.8,9.2
-45581.94831,6.9,5.8,9.7
-45581.23664,7.9,5.1,8.8
-45580.03329,8.4,8.7,10.1
-45580.19515,9.1,8.4,10.1
-45580.03482,3.2,6.4,9.7
-45580.48937,3.5,9.9,9.5
-45580.14448,4.6,5.9,9.7
-45583.40895,5.4,4.8,8.8
-45582.5295,5.6,5.7,9.5
-45581.19578,5.7,5.7,10.1
-45579.92425,6.0,8.0,10.1
-45582.32647,6.8,5.5,8.8
-45580.01016,8.1,9.0,9.7
-45580.28498,8.3,9.1,9.2
-45580.24788,8.5,8.7,9.5
-45580.56235,9.0,8.4,9.5
-45580.17733,3.9,9.8,9.8
-45582.04263,5.0,4.8,9.5
-45580.18794,5.1,13.2,8.7
-45579.91414,6.1,8.8,10.2
-45579.98829,6.3,8.9,8.7
-45580.38487,6.9,12.3,8.7
-45582.79896,7.4,5.0,9.1
-45580.15992,7.4,7.6,8.7
-45580.43171,8.9,8.6,9.8
-45581.42712,5.2,5.6,9.8
-45579.98124,5.3,8.3,9.1
-45584.11831,5.9,4.9,9.1
-45583.51393,6.5,5.4,9.1
-45582.4424,7.0,5.7,9.1
-45579.97718,7.5,6.3,10.2
-45580.07258,8.6,9.0,8.7
-45580.04885,9.0,9.2,10.2
-45579.92776,3.4,8.2,9.1
-45580.04542,4.2,5.5,9.1
-45580.1278,5.5,6.5,10.1
-45580.25736,5.8,6.4,10.2
-45580.25585,6.0,6.6,10.1
-45580.86604,6.4,5.9,10.2
-45580.08072,8.7,10.3,9.8
-45579.92793,9.1,10.1,9.1
-45579.99511,3.9,8.3,9.2
-45579.94878,4.6,5.9,10.1
-45581.38131,4.7,5.4,9.2
-45581.86719,5.1,4.8,9.7
-45583.48282,5.4,4.8,9.2
-45582.27477,5.7,5.7,9.7
-45583.21839,6.8,5.5,9.2
-45580.96721,6.9,5.8,10.1
-45580.43115,3.4,9.9,9.7
-45580.69238,3.5,9.4,8.8
-45580.27314,6.4,12.2,8.8
-45579.91138,8.1,9.0,10.1
-45580.14545,8.4,8.7,9.7
-45582.06334,5.3,5.6,9.6
-45580.23162,5.8,12.1,8.8
-45579.95722,6.6,6.6,10.5
-45580.03608,6.6,8.8,8.8
-45580.07688,7.3,8.5,9.2
-45581.18649,7.9,5.1,9.2
-45580.55656,9.1,8.4,9.7
-45580.34076,3.8,9.8,9.6
-45580.36376,4.3,4.9,9.4
-45580.53469,4.8,5.6,9.9
-45583.24629,5.8,5.5,9.4
-45580.66977,5.9,5.8,10.3
-45583.96647,6.4,4.8,9.4
-45580.14144,6.5,6.5,10.3
-45581.82035,6.7,5.7,9.9
-45579.97257,7.0,6.6,10.3
-45580.05599,8.6,10.1,9.9
-45580.62327,8.7,9.2,9.0
-45580.48762,8.8,8.6,9.6
-45580.02421,9.0,10.3,9.4
-45580.0035,9.1,9.0,10.3
-45579.95453,3.2,9.6,10.3
-45579.98547,3.8,10.4,9.9
-45580.40566,3.9,8.9,9.0
-45580.13868,5.0,13.0,9.0
-45580.41894,5.4,12.2,9.0
-45580.08036,5.6,8.8,9.0
-45580.5936,6.8,12.1,9.0
-45580.01909,7.4,6.1,10.3
-45582.03745,7.5,5.2,9.4
-45579.95444,3.5,10.5,10.0
